game_id,show_number,air_date,comments,contestant,final_score,winner,url,season
261,2850,1997-01-10T00:00:00Z,Paul Gutowski game 1.,Kim Mihalick,3200,FALSE,https://j-archive.com/showgame.php?game_id=261,13
261,2850,1997-01-10T00:00:00Z,Paul Gutowski game 1.,Victoria Esser,1600,FALSE,https://j-archive.com/showgame.php?game_id=261,13
261,2850,1997-01-10T00:00:00Z,Paul Gutowski game 1.,Paul Gutowski,14401,TRUE,https://j-archive.com/showgame.php?game_id=261,13
633,2849,1997-01-09T00:00:00Z,,Kim Mihalick,7300,TRUE,https://j-archive.com/showgame.php?game_id=633,13
633,2849,1997-01-09T00:00:00Z,,Kathy Eckenroth,1,FALSE,https://j-archive.com/showgame.php?game_id=633,13
633,2849,1997-01-09T00:00:00Z,,Alan Kwaselow,1,FALSE,https://j-archive.com/showgame.php?game_id=633,13
4154,2848,1997-01-08T00:00:00Z,,Steve Dhuey,4799,FALSE,https://j-archive.com/showgame.php?game_id=4154,13
4154,2848,1997-01-08T00:00:00Z,,Kim Mihalick,4800,TRUE,https://j-archive.com/showgame.php?game_id=4154,13
4154,2848,1997-01-08T00:00:00Z,,Michael Kunes,2799,FALSE,https://j-archive.com/showgame.php?game_id=4154,13
632,2847,1997-01-07T00:00:00Z,Claudia Perry game 5.,Claudia Perry,599,FALSE,https://j-archive.com/showgame.php?game_id=632,13
632,2847,1997-01-07T00:00:00Z,Claudia Perry game 5.,Steve Dhuey,4100,TRUE,https://j-archive.com/showgame.php?game_id=632,13
632,2847,1997-01-07T00:00:00Z,Claudia Perry game 5.,"David Charlton, Jr.",1,FALSE,https://j-archive.com/showgame.php?game_id=632,13
631,2846,1997-01-06T00:00:00Z,Claudia Perry game 4.,Claudia Perry,12000,TRUE,https://j-archive.com/showgame.php?game_id=631,13
631,2846,1997-01-06T00:00:00Z,Claudia Perry game 4.,Doug Morrison,200,FALSE,https://j-archive.com/showgame.php?game_id=631,13
631,2846,1997-01-06T00:00:00Z,Claudia Perry game 4.,Jack Patton,8000,FALSE,https://j-archive.com/showgame.php?game_id=631,13
628,2845,1997-01-03T00:00:00Z,Claudia Perry game 3.,Claudia Perry,10001,TRUE,https://j-archive.com/showgame.php?game_id=628,13
628,2845,1997-01-03T00:00:00Z,Claudia Perry game 3.,Damon Raskin,3800,FALSE,https://j-archive.com/showgame.php?game_id=628,13
628,2845,1997-01-03T00:00:00Z,Claudia Perry game 3.,Aimee Serafini,300,FALSE,https://j-archive.com/showgame.php?game_id=628,13
624,2844,1997-01-02T00:00:00Z,Claudia Perry game 2.,Claudia Perry,13201,TRUE,https://j-archive.com/showgame.php?game_id=624,13
624,2844,1997-01-02T00:00:00Z,Claudia Perry game 2.,Nancy Senter,13100,FALSE,https://j-archive.com/showgame.php?game_id=624,13
624,2844,1997-01-02T00:00:00Z,Claudia Perry game 2.,Kurt Bodden,11000,FALSE,https://j-archive.com/showgame.php?game_id=624,13
622,2843,1997-01-01T00:00:00Z,Claudia Perry game 1-B.,Cindy Giddle,0,FALSE,https://j-archive.com/showgame.php?game_id=622,13
622,2843,1997-01-01T00:00:00Z,Claudia Perry game 1-B.,Claudia Perry,10101,TRUE,https://j-archive.com/showgame.php?game_id=622,13
622,2843,1997-01-01T00:00:00Z,Claudia Perry game 1-B.,Jody Hart,5000,FALSE,https://j-archive.com/showgame.php?game_id=622,13
621,2842,1996-12-31T00:00:00Z,,Ted Senator,2999,FALSE,https://j-archive.com/showgame.php?game_id=621,13
621,2842,1996-12-31T00:00:00Z,,Cindy Giddle,11201,TRUE,https://j-archive.com/showgame.php?game_id=621,13
621,2842,1996-12-31T00:00:00Z,,Mario Zaragoza,4600,FALSE,https://j-archive.com/showgame.php?game_id=621,13
619,2841,1996-12-30T00:00:00Z,,Jon Woodman,400,FALSE,https://j-archive.com/showgame.php?game_id=619,13
619,2841,1996-12-30T00:00:00Z,,Sara d'Anjou,3200,FALSE,https://j-archive.com/showgame.php?game_id=619,13
619,2841,1996-12-30T00:00:00Z,,Ted Senator,8199,TRUE,https://j-archive.com/showgame.php?game_id=619,13
618,2840,1996-12-27T00:00:00Z,,Jon Woodman,5599,TRUE,https://j-archive.com/showgame.php?game_id=618,13
