city,census2010
"Lacey city, Washington","42,393"
"Summerville town, South Carolina","43,392"
"Coeur d'Alene city, Idaho","44,137"
"Oak Park village, Illinois","51,878"
"Elkhart city, Indiana","50,949"
"Maricopa city, Arizona","43,482"
"Kentwood city, Michigan","48,707"
"Madison city, Alabama","42,938"
"Smyrna town, Tennessee","39,974"
"Glendora city, California","50,073"
"Logan city, Utah","48,174"
"Burien city, Washington","33,313"
"Perth Amboy city, New Jersey","50,814"
"Herriman city, Utah","21,785"
"Grand Island city, Nebraska","48,520"
"Placentia city, California","50,533"
"La Crosse city, Wisconsin","51,320"
"Battle Creek city, Michigan","52,347"
"Beaumont city, California","36,877"
"Collierville town, Tennessee","43,965"
"West Lafayette city, Indiana","29,596"
"Florissant city, Missouri","52,158"
"Hoffman Estates village, Illinois","51,895"
"Joplin city, Missouri","50,150"
"Queen Creek town, Arizona","26,361"
"Aliso Viejo city, California","47,823"
"Kannapolis city, North Carolina","42,625"
"Methuen Town city, Massachusetts","47,255"
"Galveston city, Texas","47,743"
"Mishawaka city, Indiana","48,252"
"Plainfield city, New Jersey","49,808"
"Newark city, Ohio","47,573"
"Stillwater city, Oklahoma","45,688"
"Twin Falls city, Idaho","44,125"
"Texas City city, Texas","45,099"
"Cerritos city, California","49,041"
"Coral Gables city, Florida","46,780"
"Enid city, Oklahoma","49,379"
"Lakewood city, Ohio","52,131"
"Troy city, New York","50,129"
"Saginaw city, Michigan","51,508"
"Niagara Falls city, New York","50,193"
"Charleston city, West Virginia","51,400"
